Index,Current Value,1year Returns,3year Returns,10year Returns
Sensex,58129,49.09,51.73,25.57
Nifty,17323,49.96,49.57,243.72
Gold,48605,-7.95,52.7,39.5
NASDAQ,15363,48.88,65.5,552.24
