Country,GDP(in Trillion $),Export (in trillions of $),Import(in Trillion $),Trade surplus or defeciet (in percent)
USA,19.85,2.528,2.407,2%
INDIA,2.651,0.546,0.478,7%
CHINA,12.24,2.643,2.055,13%
RUSSIA,1.578,0.481,0.231,35%
UNITED KINGDOM,2.638,0.879,0.631,16%
FRANCE,2.583,0.891,0.569,22%
JAPAN,4.872,0.904,0.634,18%
GERMANY,3.693,1.811,1.171,21%
